Dateline (hari);Tingkat Important;Tingkat Urgent;Kompleksitas;Prioritas
0;important;urgent;tinggi;do it now
0;important;not urgent;sedang;schedule
0;not important;urgent;sedang;delegate
0;not important;not urgent;rendah;drop
1;important;urgent;tinggi;do it now
1;important;not urgent;sedang;schedule
1;not important;urgent;sedang;delegate
1;not important;not urgent;rendah;drop
2;important;urgent;sedang;schedule
2;important;not urgent;sedang;schedule
2;not important;urgent;sedang;delegate
2;not important;not urgent;rendah;drop
3;important;urgent;sedang;schedule
3;important;not urgent;sedang;schedule
3;not important;urgent;sedang;delegate
3;not important;not urgent;rendah;drop
4;important;urgent;sedang;schedule
4;important;not urgent;sedang;schedule
4;not important;urgent;sedang;delegate
4;not important;not urgent;rendah;drop
5;important;urgent;sedang;schedule
5;important;not urgent;sedang;schedule
5;not important;urgent;sedang;delegate
5;not important;not urgent;rendah;drop
6;important;urgent;sedang;schedule
6;important;not urgent;sedang;schedule
6;not important;urgent;sedang;delegate
6;not important;not urgent;rendah;drop
7;important;urgent;sedang;schedule
7;important;not urgent;sedang;schedule
7;not important;urgent;sedang;delegate
7;not important;not urgent;rendah;drop
8;important;urgent;sedang;schedule
8;important;not urgent;sedang;schedule
8;not important;urgent;sedang;delegate
8;not important;not urgent;rendah;drop
9;important;urgent;sedang;schedule
9;important;not urgent;sedang;schedule
9;not important;urgent;sedang;delegate
9;not important;not urgent;rendah;drop
10;important;urgent;sedang;schedule
10;important;not urgent;sedang;schedule
10;not important;urgent;sedang;delegate
10;not important;not urgent;rendah;drop
11;important;urgent;sedang;schedule
11;important;not urgent;sedang;schedule
11;not important;urgent;sedang;delegate
11;not important;not urgent;rendah;drop
12;important;urgent;sedang;schedule
12;important;not urgent;sedang;schedule
12;not important;urgent;sedang;delegate
12;not important;not urgent;rendah;drop
13;important;urgent;sedang;schedule
13;important;not urgent;sedang;schedule
13;not important;urgent;sedang;delegate
13;not important;not urgent;rendah;drop
14;important;urgent;sedang;schedule
14;important;not urgent;sedang;schedule
14;not important;urgent;sedang;delegate
14;not important;not urgent;rendah;drop
15;important;urgent;sedang;schedule
15;important;not urgent;sedang;schedule
15;not important;urgent;sedang;delegate
15;not important;not urgent;rendah;drop
16;important;urgent;sedang;schedule
16;important;not urgent;sedang;schedule
16;not important;urgent;sedang;delegate
16;not important;not urgent;rendah;drop
17;important;urgent;sedang;schedule
17;important;not urgent;sedang;schedule
17;not important;urgent;sedang;delegate
17;not important;not urgent;rendah;drop
18;important;urgent;sedang;schedule
18;important;not urgent;sedang;schedule
18;not important;urgent;sedang;delegate
18;not important;not urgent;rendah;drop
19;important;urgent;sedang;schedule
19;important;not urgent;sedang;schedule
19;not important;urgent;sedang;delegate
19;not important;not urgent;rendah;drop
20;important;urgent;sedang;schedule
